AssetPath,FieldName,Value,Note
Assets/Configs/AttackEffectConfig.asset,basicSpeed,7,
Assets/Configs/AttackEffectConfig.asset,poweredSpeed,9,
Assets/Configs/AttackEffectConfig.asset,lifetime,2,
Assets/Configs/AttackEffectConfig.asset,basicScale,2.95,
Assets/Configs/AttackEffectConfig.asset,poweredScale,3.3,
Assets/Configs/AttackEffectConfig.asset,frameRate,16,
Assets/Configs/AttackEffectConfig.asset,basicDamage,1,
Assets/Configs/AttackEffectConfig.asset,poweredDamage,3,
Assets/Configs/BossConfig.asset,idle1Loops,2,
Assets/Configs/BossConfig.asset,orbInterval,1.6,
Assets/Configs/BossConfig.asset,orbSpeed,6,
Assets/Configs/BossConfig.asset,orbLifetime,4,
Assets/Configs/BossConfig.asset,orbSpawnHeight,1.3,
Assets/Configs/BossConfig.asset,orbAimHeight,0.45,
Assets/Configs/BossConfig.asset,orbsPerCycle,3,
Assets/Configs/BossConfig.asset,beamNoteSpeed,7,
Assets/Configs/BossConfig.asset,beamThickness,0.45,
Assets/Configs/BossConfig.asset,beamHeightOffset,0.45,
Assets/Configs/BossConfig.asset,beamOverreach,2,
Assets/Configs/BossConfig.asset,beamLeadIn,0.6,
Assets/Configs/BossConfig.asset,beamTailTime,1.2,
Assets/Configs/BossConfig.asset,noteScale,0.75,
Assets/Configs/BossConfig.asset,missBehindDistance,0.8,
Assets/Configs/CameraConfig.asset,deadzoneWidth,1.2,
Assets/Configs/CameraConfig.asset,horizontalSmoothTime,0.12,
Assets/Configs/CameraConfig.asset,lookAheadX,1,
Assets/Configs/CameraConfig.asset,lookAheadSmoothTime,0.4,
Assets/Configs/CameraConfig.asset,verticalSmoothTime,0.3,
Assets/Configs/CameraConfig.asset,fallCatchDistance,2.5,
Assets/Configs/DeathDogAIConfig.asset,aggroRange,6,이 거리 안에 플레이어가 들어오면 추적을 시작한다
Assets/Configs/DeathDogAIConfig.asset,attackRange,1.2,이 거리 안이면 공격을 시도한다
Assets/Configs/DeathDogAIConfig.asset,chaseStopDistance,9,추적을 시작한 뒤 이 거리를 넘어서면 추적을 포기하고 순찰로 복귀한다
Assets/Configs/DeathDogAIConfig.asset,patrolSpeed,1,
Assets/Configs/DeathDogAIConfig.asset,chaseSpeed,3,
Assets/Configs/DeathDogAIConfig.asset,patrolRadius,2.5,순찰 지점을 지정하지 않았을 때 스폰 위치 기준 좌우 순찰 반경
Assets/Configs/DeathDogAIConfig.asset,jumpYThreshold,1.2,플레이어가 이 높이 이상 위에 있으면 점프해서 따라간다
Assets/Configs/DeathDogAIConfig.asset,jumpConfirmDuration,0.6,점프를 확정하기 전에 높이차가 유지돼야 하는 시간(초). 짧으면 플레이어의 제자리 점프에도 따라 뛴다
