Raw regions: 120 Filtered(>50px): 35
x:285 y:7 w:227 h:239 px:30473
x:35 y:8 w:221 h:238 px:30229
x:1926 y:16 w:11 h:7 px:57
x:1510 y:18 w:243 h:150 px:20486
x:1776 y:18 w:246 h:121 px:17217
x:1290 y:24 w:196 h:173 px:24343
x:549 y:25 w:220 h:221 px:28903
x:799 y:25 w:219 h:220 px:28595
x:1051 y:25 w:199 h:198 px:25878
x:1838 y:139 w:71 h:71 px:1826
x:1747 y:289 w:287 h:232 px:35202
x:30 y:297 w:281 h:225 px:30099
x:318 y:297 w:236 h:225 px:27331
x:549 y:297 w:236 h:223 px:27277
x:773 y:298 w:231 h:240 px:28707
x:1006 y:298 w:511 h:228 px:62167
x:1534 y:300 w:200 h:225 px:27477
x:1994 y:356 w:22 h:21 px:280
x:1749 y:362 w:15 h:13 px:106
x:1033 y:553 w:204 h:264 px:28912
x:791 y:562 w:236 h:255 px:30802
x:65 y:563 w:231 h:253 px:32027
x:313 y:563 w:231 h:252 px:30343
x:1263 y:563 w:258 h:253 px:31206
x:1528 y:563 w:237 h:254 px:31542
x:1770 y:564 w:225 h:253 px:31482
x:552 y:579 w:197 h:237 px:28001
x:56 y:842 w:215 h:249 px:32087
x:299 y:842 w:212 h:249 px:32139
x:544 y:843 w:213 h:248 px:32123
x:792 y:843 w:214 h:248 px:32140
x:1043 y:843 w:221 h:248 px:32311
x:1287 y:843 w:223 h:248 px:32994
x:1532 y:843 w:222 h:248 px:32543
x:1776 y:843 w:221 h:248 px:32948
